                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    145,                0.63993,                0.51347,                 1.0761,                0.91722,                0.87809,                 0.9216,                0.74472,                0.81965,                0.56097,                 1.2169,               0.005248,               0.005248,               0.005248
                    146,                0.63035,                0.50953,                 1.0705,                0.91574,                0.87972,                0.92298,                0.74593,                0.81643,                0.55934,                  1.214,               0.005215,               0.005215,               0.005215
                    147,                0.62166,                0.50559,                 1.0684,                0.90884,                0.89289,                0.92346,                 0.7465,                0.82176,                0.55473,                 1.2223,               0.005182,               0.005182,               0.005182
                    148,                0.62676,                0.50254,                 1.0664,                0.90873,                0.88651,                  0.924,                0.74822,                0.82398,                 0.5603,                 1.2222,               0.005149,               0.005149,               0.005149
                    149,                 0.6416,                0.52326,                 1.0738,                0.91487,                 0.8752,                0.92535,                0.75107,                0.82296,                0.56205,                 1.2213,               0.005116,               0.005116,               0.005116
                    150,                0.63571,                0.51044,                 1.0702,                0.90233,                0.88594,                0.92418,                0.74718,                0.81587,                0.56403,                 1.2131,               0.005083,               0.005083,               0.005083
                    151,                0.61855,                0.50333,                 1.0701,                0.90069,                 0.8857,                 0.9237,                0.74743,                0.81604,                0.56354,                 1.2149,                0.00505,                0.00505,                0.00505
                    152,                0.62884,                0.50877,                 1.0667,                0.90846,                 0.8805,                 0.9236,                0.74643,                0.81606,                0.56346,                 1.2152,               0.005017,               0.005017,               0.005017
                    153,                0.63094,                0.50668,                 1.0652,                0.88577,                0.89802,                0.92268,                 0.7459,                0.80813,                0.56062,                 1.2059,               0.004984,               0.004984,               0.004984
                    154,                0.62527,                 0.5154,                 1.0695,                0.88158,                0.90136,                0.92271,                0.74635,                0.80389,                0.56109,                  1.201,               0.004951,               0.004951,               0.004951
                    155,                0.62279,                0.50643,                 1.0606,                0.89489,                0.89966,                0.92313,                0.74863,                0.80122,                0.55386,                  1.198,               0.004918,               0.004918,               0.004918
                    156,                0.62927,                0.50472,                 1.0696,                0.89652,                0.89991,                0.92336,                0.74822,                0.80217,                0.55369,                 1.1969,               0.004885,               0.004885,               0.004885
                    157,                0.63604,                0.50356,                 1.0681,                0.91493,                 0.8872,                0.92278,                 0.7452,                0.80019,                0.55498,                 1.1931,               0.004852,               0.004852,               0.004852
                    158,                 0.6285,                0.50156,                 1.0598,                0.89592,                0.90062,                0.92291,                0.74592,                0.80003,                0.55541,                 1.1948,               0.004819,               0.004819,               0.004819
                    159,                0.60954,                0.49714,                 1.0586,                0.89452,                 0.9008,                0.92346,                0.74833,                0.79902,                0.55415,                 1.1953,               0.004786,               0.004786,               0.004786
                    160,                0.61361,                0.49237,                 1.0618,                0.91283,                0.88312,                 0.9232,                0.74954,                0.79474,                0.55625,                  1.191,               0.004753,               0.004753,               0.004753
                    161,                0.60665,                 0.4909,                 1.0581,                0.91284,                0.88315,                0.92305,                0.75147,                0.79351,                0.55703,                 1.1916,                0.00472,                0.00472,                0.00472
                    162,                0.62267,                0.50001,                 1.0587,                0.91236,                0.88759,                0.92552,                0.75099,                0.79369,                0.56035,                 1.1919,               0.004687,               0.004687,               0.004687
                    163,                0.62398,                 0.5016,                 1.0625,                 0.9276,                0.86852,                0.92475,                 0.7508,                0.79596,                0.55962,                 1.1944,               0.004654,               0.004654,               0.004654
